Algorithm,Level,Scenario,Service,Users,Metric,Value
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.643
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.667
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.9
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.75
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.652
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.833
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.733
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.222
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.189
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.067
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.14
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.8
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.157
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.126
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.4
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.381
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.421
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.2
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.364
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.621
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.111
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.136
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.394
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.414
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.333
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.095
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.333
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.101
BIRCH,low,scenario_A,ts-order-service,100,Recall,1.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.5
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.375
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.368
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.107
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.265
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.533
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.462
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.476
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.148
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.152
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.2
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.107
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.286
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.25
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.667
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.556
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.117
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.261
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.375
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.769
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.5
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.238
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.571
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.062
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.455
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.471
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.379
BIRCH,low,scenario_A,ts-order-service,100,Recall,0.0
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.343
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.318
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.126
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.236
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.889
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.261
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.215
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.571
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.533
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.593
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.333
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.445
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.766
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.198
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.235
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.52
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.534
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,low,scenario_A,ts-order-service,100,F-Score,0.5
